L,d,r,p,q,samples,mi_0,mi_1,mi_2,mi_3,mi_4,mi_5,mi_6,mi_7,mi_8,mi_9,mi_10
48,4,3,0.03,4,1,0.6666666666666666,0.5416666666666666,0.5416666666666666,0.4791666666666667,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
48,4,3,0.03,4,2,0.6666666666666666,0.625,0.5416666666666666,0.5208333333333334,0.5,0.4583333333333333,0.3541666666666667,0.3125,0.3125,0.3125,0.2916666666666667
48,4,3,0.03,4,3,0.6666666666666666,0.625,0.5625,0.5416666666666666,0.4791666666666667,0.3958333333333333,0.3541666666666667,0.3125,0.2708333333333333,0.2708333333333333,0.1875
48,4,3,0.03,4,4,0.6666666666666666,0.5625,0.5,0.3958333333333333,0.3333333333333333,0.3125,0.2916666666666667,0.2708333333333333,0.22916666666666666,0.1875,0.16666666666666666
48,4,3,0.03,4,5,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.5833333333333334,0.5208333333333334,0.4166666666666667,0.375,0.375,0.3333333333333333,0.2916666666666667,0.2916666666666667
48,4,3,0.03,4,6,0.6666666666666666,0.625,0.6041666666666666,0.5416666666666666,0.4166666666666667,0.375,0.3333333333333333,0.3125,0.2708333333333333,0.25,0.22916666666666666
48,4,3,0.03,4,7,0.6666666666666666,0.5833333333333334,0.5208333333333334,0.4583333333333333,0.375,0.3541666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3125,0.2916666666666667
48,4,3,0.03,4,8,0.6666666666666666,0.625,0.5416666666666666,0.5208333333333334,0.4583333333333333,0.4166666666666667,0.3958333333333333,0.3541666666666667,0.3333333333333333,0.2916666666666667,0.25
48,4,3,0.03,4,9,0.6666666666666666,0.5,0.4166666666666667,0.3125,0.2916666666666667,0.2708333333333333,0.2708333333333333,0.22916666666666666,0.22916666666666666,0.20833333333333334,0.1875
48,4,3,0.03,4,10,0.6666666666666666,0.5625,0.5208333333333334,0.4166666666666667,0.375,0.3541666666666667,0.3333333333333333,0.3333333333333333,0.2916666666666667,0.25,0.22916666666666666
48,4,3,0.03,4,11,0.6666666666666666,0.5833333333333334,0.5208333333333334,0.4791666666666667,0.4166666666666667,0.375,0.375,0.3125,0.3125,0.3125,0.3125
48,4,3,0.03,4,12,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5,0.5,0.4583333333333333,0.4375,0.375,0.3541666666666667,0.3125
48,4,3,0.03,4,13,0.6666666666666666,0.625,0.6041666666666666,0.5,0.3958333333333333,0.375,0.375,0.2916666666666667,0.2708333333333333,0.25,0.22916666666666666
48,4,3,0.03,4,14,0.6666666666666666,0.5833333333333334,0.4583333333333333,0.4375,0.3541666666666667,0.3541666666666667,0.3541666666666667,0.3333333333333333,0.3333333333333333,0.22916666666666666,0.20833333333333334
48,4,3,0.03,4,15,0.6666666666666666,0.625,0.5833333333333334,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4375,0.4166666666666667,0.375,0.375,0.3541666666666667
48,4,3,0.03,4,16,0.6666666666666666,0.5625,0.5416666666666666,0.4375,0.4375,0.3958333333333333,0.2916666666666667,0.25,0.25,0.25,0.20833333333333334
48,4,3,0.03,4,17,0.6666666666666666,0.5833333333333334,0.5208333333333334,0.4791666666666667,0.375,0.3541666666666667,0.3125,0.2916666666666667,0.2708333333333333,0.25,0.25
48,4,3,0.03,4,18,0.6666666666666666,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.5,0.5,0.4166666666666667,0.3958333333333333,0.375,0.3541666666666667,0.2916666666666667
48,4,3,0.03,4,19,0.6666666666666666,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.5,0.4583333333333333,0.4375,0.3958333333333333,0.3541666666666667,0.3333333333333333,0.3125
48,4,3,0.03,4,20,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.3958333333333333,0.375,0.3541666666666667,0.3125,0.2708333333333333,0.25,0.22916666666666666
48,4,3,0.03,4,21,0.6666666666666666,0.625,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.5208333333333334,0.4166666666666667,0.3541666666666667,0.3125,0.3125,0.2916666666666667
48,4,3,0.03,4,22,0.6666666666666666,0.5625,0.4583333333333333,0.375,0.3125,0.2916666666666667,0.22916666666666666,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334
48,4,3,0.03,4,23,0.6666666666666666,0.5833333333333334,0.4791666666666667,0.4375,0.3125,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2708333333333333,0.25,0.25
48,4,3,0.03,4,24,0.6666666666666666,0.5833333333333334,0.5,0.4791666666666667,0.4166666666666667,0.375,0.3125,0.3125,0.3125,0.2916666666666667,0.25
48,4,3,0.03,4,25,0.6666666666666666,0.625,0.5625,0.5416666666666666,0.4375,0.375,0.3541666666666667,0.3333333333333333,0.3125,0.25,0.20833333333333334
48,4,3,0.03,4,26,0.6666666666666666,0.625,0.5416666666666666,0.5,0.5,0.4791666666666667,0.4375,0.4166666666666667,0.375,0.375,0.3333333333333333
48,4,3,0.03,4,27,0.6666666666666666,0.5625,0.5,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.375,0.3333333333333333,0.3125,0.2708333333333333,0.25
48,4,3,0.03,4,28,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.4791666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.3541666666666667,0.3333333333333333,0.2916666666666667
48,4,3,0.03,4,29,0.6666666666666666,0.6041666666666666,0.5208333333333334,0.5,0.4375,0.4375,0.4166666666666667,0.375,0.3125,0.2708333333333333,0.22916666666666666
48,4,3,0.03,4,30,0.6666666666666666,0.6041666666666666,0.5416666666666666,0.4166666666666667,0.375,0.375,0.3333333333333333,0.25,0.22916666666666666,0.22916666666666666,0.20833333333333334
48,4,3,0.03,4,31,0.6666666666666666,0.5833333333333334,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.4166666666666667,0.3541666666666667,0.3541666666666667,0.2916666666666667,0.25
48,4,3,0.03,4,32,0.6666666666666666,0.6041666666666666,0.5625,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.375,0.3541666666666667
48,4,3,0.03,4,33,0.6666666666666666,0.6041666666666666,0.4791666666666667,0.4375,0.4166666666666667,0.3958333333333333,0.3125,0.25,0.25,0.25,0.25
48,4,3,0.03,4,34,0.6666666666666666,0.5625,0.4791666666666667,0.4375,0.3958333333333333,0.3541666666666667,0.3125,0.2916666666666667,0.25,0.20833333333333334,0.20833333333333334
48,4,3,0.03,4,35,0.6666666666666666,0.6458333333333334,0.5416666666666666,0.4375,0.375,0.3333333333333333,0.3125,0.2708333333333333,0.25,0.22916666666666666,0.22916666666666666
48,4,3,0.03,4,36,0.6666666666666666,0.5833333333333334,0.3958333333333333,0.3125,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.25,0.22916666666666666,0.20833333333333334,0.20833333333333334
