L,d,r,p,q,samples,mi_0,mi_1,mi_2,mi_3,mi_4,mi_5,mi_6,mi_7,mi_8,mi_9,mi_10
48,6,3,0.0175,6,1,0.6666666666666666,0.625,0.5833333333333334,0.5833333333333334,0.5625,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,2,0.6666666666666666,0.6041666666666666,0.5208333333333334,0.5208333333333334,0.5,0.4583333333333333,0.4375,0.4375,0.4375,0.4375,0.4375
48,6,3,0.0175,6,3,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.5,0.4791666666666667,0.4583333333333333,0.4583333333333333,0.4375,0.4166666666666667
48,6,3,0.0175,6,4,0.6666666666666666,0.625,0.6041666666666666,0.5625,0.5416666666666666,0.4791666666666667,0.4791666666666667,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.3958333333333333
48,6,3,0.0175,6,5,0.6666666666666666,0.625,0.5833333333333334,0.5625,0.5416666666666666,0.4583333333333333,0.4375,0.4166666666666667,0.3958333333333333,0.375,0.375
48,6,3,0.0175,6,6,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5625,0.5416666666666666,0.5416666666666666,0.5208333333333334
48,6,3,0.0175,6,7,0.6666666666666666,0.625,0.5625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5,0.5,0.4791666666666667,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,8,0.6666666666666666,0.6666666666666666,0.625,0.5833333333333334,0.5833333333333334,0.5625,0.5416666666666666,0.5,0.4791666666666667,0.4791666666666667,0.4583333333333333
48,6,3,0.0175,6,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.5416666666666666,0.5,0.4791666666666667,0.4583333333333333,0.4583333333333333,0.4375
48,6,3,0.0175,6,10,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5625,0.5416666666666666,0.5208333333333334,0.5,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667
48,6,3,0.0175,6,11,0.6666666666666666,0.625,0.5625,0.5,0.4791666666666667,0.4375,0.4166666666666667,0.4166666666666667,0.3958333333333333,0.3958333333333333,0.3958333333333333
48,6,3,0.0175,6,12,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4583333333333333,0.4375,0.4166666666666667
48,6,3,0.0175,6,13,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5,0.4583333333333333,0.4583333333333333,0.4375
48,6,3,0.0175,6,14,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.625,0.625,0.5833333333333334,0.5833333333333334,0.5625,0.5208333333333334
48,6,3,0.0175,6,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5208333333333334,0.5208333333333334
48,6,3,0.0175,6,16,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.5208333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.4791666666666667
48,6,3,0.0175,6,17,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.5625,0.5,0.4791666666666667,0.4375,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.3958333333333333
48,6,3,0.0175,6,18,0.6666666666666666,0.5833333333333334,0.5625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5,0.4791666666666667,0.4583333333333333
48,6,3,0.0175,6,19,0.6666666666666666,0.6458333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.5,0.4583333333333333,0.4375,0.4375,0.4375
48,6,3,0.0175,6,20,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.4375,0.4375,0.4375
48,6,3,0.0175,6,21,0.6666666666666666,0.625,0.625,0.6041666666666666,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5,0.5,0.5,0.4791666666666667
48,6,3,0.0175,6,22,0.6666666666666666,0.6458333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.5208333333333334,0.5,0.5,0.5
48,6,3,0.0175,6,23,0.6666666666666666,0.625,0.6041666666666666,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5
48,6,3,0.0175,6,24,0.6666666666666666,0.625,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.4375,0.4375,0.4375,0.4375,0.4375,0.4166666666666667
48,6,3,0.0175,6,25,0.6666666666666666,0.6458333333333334,0.5833333333333334,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,26,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.5208333333333334,0.5
48,6,3,0.0175,6,27,0.6666666666666666,0.625,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.5,0.5,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667
48,6,3,0.0175,6,28,0.6666666666666666,0.625,0.6041666666666666,0.5833333333333334,0.5625,0.5,0.4791666666666667,0.4583333333333333,0.4166666666666667,0.3958333333333333,0.375
48,6,3,0.0175,6,29,0.6666666666666666,0.625,0.625,0.6041666666666666,0.5833333333333334,0.5625,0.5208333333333334,0.5,0.4583333333333333,0.4375,0.4166666666666667
48,6,3,0.0175,6,30,0.6666666666666666,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5625,0.5625,0.5208333333333334,0.5,0.5,0.5,0.4375
48,6,3,0.0175,6,31,0.6666666666666666,0.6458333333333334,0.625,0.625,0.5625,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,32,0.6666666666666666,0.6666666666666666,0.625,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.4166666666666667,0.3958333333333333
